X_mm,Y_mm,Z_mm
-12.313811,-3.889191,3.134789
-12.456434,-3.616474,-0.301605
-12.597844,-0.081198,3.505195
-12.755421,0.258216,0.030674
-12.659332,2.979382,3.780670
-12.826631,3.366201,0.299772
-12.460141,6.815793,4.087254
-12.642313,7.246576,0.645080
-11.917985,-3.975822,5.688293
-12.157673,-0.252295,6.095944
-12.186177,2.738893,6.378841
-11.955834,6.489783,6.664497
-12.017659,9.866876,4.306283
-12.227310,10.325090,0.936300
-11.502394,9.474796,6.826042
-11.042854,13.603986,4.520883
-11.302493,14.094957,1.300573
-10.522602,-3.642387,8.794919
-10.615047,-0.185012,9.195008
-10.551207,2.589759,9.432227
-10.264641,6.054439,9.619334
-10.541630,13.138115,6.917870
-9.836953,8.806199,9.677464
-9.898257,16.472438,4.590988
-10.189288,16.997747,1.547298
-9.020604,12.189320,9.612037
-9.438734,15.957121,6.841999
-8.057961,-2.923875,10.924126
-8.091411,-0.179318,11.188049
-8.008019,3.275681,11.387740
-7.816937,6.044703,11.431560
-8.120700,14.815249,9.396809
-7.878103,19.730675,4.418793
-8.186925,20.331138,1.681372
-7.397442,9.489304,11.307389
-7.514339,12.054042,10.746030
-7.517169,19.155096,6.421904
-6.629962,17.892595,8.768913
-5.792100,-2.440694,11.895230
-5.801851,0.276528,12.148593
-5.730534,3.702928,12.328552
-5.587247,6.454509,12.335217
-5.450397,15.639864,10.637875
-5.443799,21.567499,4.961982
-5.716668,22.462917,1.980358
-5.275022,9.879856,12.120440
-5.460338,13.146091,11.429920
-3.905795,20.565057,7.953847
-3.435865,18.879481,9.648140
-2.514202,-2.090400,12.488327
-2.512046,0.611635,12.745744
-2.474295,4.013354,12.929654
-2.409857,6.744343,12.926838
-2.272163,10.145595,12.670035
-2.751358,13.463690,12.016908
-3.066467,16.013129,11.201772
-3.092160,22.401417,5.226228
-3.269263,23.406842,2.111327
0.000003,-2.028374,12.585656
-0.000002,1.356942,12.895600
-0.000004,4.073691,13.029944
-0.000004,7.472583,13.000409
-0.000008,10.182078,12.769597
-0.000001,13.530387,12.187526
-0.000008,16.142463,11.434441
-0.000004,19.178586,9.925428
-0.000006,21.535349,7.563956
-0.000004,22.701959,5.341256
-0.000004,23.755341,2.160755
2.514202,-2.090400,12.488327
2.512046,0.611635,12.745744
2.474295,4.013354,12.929654
2.409857,6.744343,12.926838
2.272163,10.145595,12.670035
2.751358,13.463690,12.016908
3.066467,16.013129,11.201772
3.092160,22.401417,5.226228
3.435865,18.879481,9.648140
3.269263,23.406842,2.111327
3.905795,20.565057,7.953847
5.730534,3.702928,12.328552
5.587247,6.454509,12.335217
5.275022,9.879856,12.120440
5.460338,13.146091,11.429920
5.792100,-2.440694,11.895230
5.801851,0.276528,12.148593
5.450397,15.639864,10.637875
5.443799,21.567499,4.961982
5.716668,22.462917,1.980358
6.629962,17.892595,8.768913
7.397442,9.489304,11.307389
7.514339,12.054042,10.746030
7.517169,19.155096,6.421904
8.057961,-2.923875,10.924126
8.091411,-0.179318,11.188049
8.008019,3.275681,11.387740
7.816937,6.044703,11.431560
8.120700,14.815249,9.396809
7.878103,19.730675,4.418793
8.186925,20.331138,1.681372
9.020604,12.189320,9.612037
9.438734,15.957121,6.841999
10.264641,6.054439,9.619334
9.836953,8.806199,9.677464
9.898257,16.472438,4.590988
10.522602,-3.642387,8.794919
10.551207,2.589759,9.432227
10.541630,13.138115,6.917870
10.189288,16.997747,1.547298
10.615047,-0.185012,9.195008
11.502394,9.474796,6.826042
11.042854,13.603986,4.520883
11.302493,14.094957,1.300573
11.917985,-3.975822,5.688293
12.313811,-3.889191,3.134789
12.157673,-0.252295,6.095944
12.186177,2.738893,6.378841
11.955834,6.489783,6.664497
12.456434,-3.616474,-0.301605
12.460141,6.815793,4.087254
12.017659,9.866876,4.306283
12.597844,-0.081198,3.505195
12.642313,7.246576,0.645080
12.227310,10.325090,0.936300
12.755421,0.258216,0.030674
12.659332,2.979382,3.780670
12.826631,3.366201,0.299772
